Unnamed: 0,WS (n = 637),WG (n = 172),p
Age (in months),,,
"Baseline (m, SD)",119.4 (7.5),121.2 (7.0),0.003
Y1,131.4 (7.7),133.8 (7.0),<0.001
,,,
"Puberty (m, SD)",,,
Baseline,1.7 (0.6),2.1 (0.7),<0.001
Y1,1.9 (0.7),2.6 (0.9),<0.001
,,,
"BMI (m, SD)",,,
Baseline BMI,16.3 (1.0),19.0 (2.2),<0.001
Y1 BMI,16.7 (1.1),22.6 (2.8),<0.001
,,,
"Baseline weight group (n, %)",,,
Healthy weight,637 (100.0),117 (68.0),<0.001
Obese,,10 (5.8),
Overweight,,45 (26.2),
,,,
"Y1 weight group (n, %)",,,
Healthy weight,637 (100.0),49 (28.3),<0.001
Obese,,50 (28.9),
Overweight,,74 (42.8),
,,,
"Sex (n, %)",,,
Male,293 (46.0),97 (56.4),0.020
Female,344 (54.0),75 (43.6),
,,,
"Race (n, %)",,,
White,452 (71.0),94 (54.7),<0.001
Black,30 (4.7),21 (12.2),
Hispanic,81 (12.7),32 (18.6),
Asian,19 (3.0),1 (0.6),
Other,55 (8.6),24 (14.0),
,,,
"Parent Education (n, %)",,,
<HS,9 (1.4),14 (8.1),<0.001
HS/GED,23 (3.6),19 (11.0),
Some college,124 (19.5),50 (29.1),
BA degree,183 (28.7),38 (22.1),
Postgraduate degree,298 (46.8),51 (29.7),
