Unnamed: 0,BASr???,BASd???,BASf???,BIS,E2,PROG,Age
BASr,–,r = .494???,r = .527???,r = .287???,r = -.009,r = -.071,r = .184
,,p = .000,p = .000,p = .046,p = .953,p = .632,p = .206
BASd,r = .494???,–,r = .444???,r = -.126,r = .039,r = -.267,r = .037
,p = .000,,p = .001,p = .388,p = .792,p = .061,p = .803
BASf,r = .527???,r = .444???,–,r = .107,r = .177,r = .036,r = .088
,p = .000,p = .001,,p = .464,p = .229,p = .810,p = .549
BIS,r = .287???,r = -.126,r = .107,–,r = .037,r = -.126,r = -.125
,p = .046,p = .388,p = .464,,p = .802,p = .395,p = .392
E2,r = -.009,r = .039,r = .177,r = .037,–,r = .336???,r = -.210
,p = .953,p = .792,p = .229,p = .802,,p = .018,p = .151
PROG,r = -.071,r = -.267,r = .036,r = -.126,r = .336???,–,r = .084
,p = .632,p = .061,p = .810,p = .395,p = .018,,p = .568
Age,r = .184,r = .037,r = .088,r = -.125,r = -.210,r = .084,–
,p = .206,p = .803,p = .549,p = .392,p = .151,p = .568,
