Repeated measures ANOVA for mode-specific metrics,Repeated measures ANOVA for mode-specific metrics,Repeated measures ANOVA for mode-specific metrics,Repeated measures ANOVA for mode-specific metrics,Repeated measures ANOVA for mode-specific metrics,Repeated measures ANOVA for mode-specific metrics,Repeated measures ANOVA for mode-specific metrics,Repeated measures ANOVA for mode-specific metrics
Significant differences,Significant differences,Significant differences,Significant differences,Significant differences,Significant differences,Significant differences,Significant differences
AAL90,AAL90,AAL90,AAL90,AAL116,AAL116,AAL116,AAL116
Metric,Mode,F score,p value,Metric,Mode,F score,p value
OCC,ψ2,F(3294) = 10.570,p < 0.001,OCC,ψ1,F(3294) = 7.158,p < 0.001
OCC,ψ4,F(3294) = 5.362,p = 0.001,OCC,ψ2,F(3294) = 9.634,p = 0.001
DURATION,ψ1,F(3294) = 6.139,p = 0.001,OCC,ψ3,F(3294) = 2.817,p = 0.039
DURATION,ψ2,F(3294) = 3.152,p = 0.025,OCC,ψ4,F(3294) = 8.234,p < 0.001
META,ψ5,F(3294) = 7.462,p < 0.001,DURATION,ψ1,F(3294) = 7.932,p < 0.001
SYNC,ψ1,F(3294) = 14.466,p < 0.001,META,ψ3,F(3294) = 4.262,p = 0.006
SYNC,ψ2,F(3294) = 7.062,p < 0.001,SYNC,ψ1,F(3294) = 11.334,p < 0.001
SYNC,ψ3,F(3294) = 9.381,p < 0.001,SYNC,ψ2,F(3294) = 5.138,p = 0.002
SYNC,ψ4,F(3294) = 24.355,p < 0.001,SYNC,ψ3,F(3294) = 3.537,p = 0.015
SYNC,ψ5,F(3294) = 6.956,p < 0.001,SYNC,ψ4,F(3294) = 17.132,p < 0.001
SPEED,ψ1,F(3294) = 9.069,p < 0.001,SYNC,ψ5,F(3294) = 85.632,p < 0.001
SPEED,ψ2,F(3294) = 12.065,p < 0.001,SPEED,ψ1,F(3294) = 8.552,p < 0.001
SPEED,ψ3,F(3294) = 9.251,p < 0.001,SPEED,ψ2,F(3294) = 16.348,p < 0.001
SPEED,ψ4,F(3294) = 8.907,p < 0.001,SPEED,ψ3,F(3294) = 3.272,p = 0.022
SPEED,ψ5,F(3294) = 10.805,p < 0.001,SPEED,ψ4,F(3294) = 17.662,p < 0.001
,,,,SPEED,ψ5,F(3294) = 65.839,p < 0.001
