Unnamed: 0,Size (mm2),X,Y,Z,BA,Area,T
HC-MCI,,,,,,,
,511,−11,−7,63,6.0,Left paracentral lobule,1.929
,"1,021",13,−16,36,24.0,Right mid-cingulate cortex/paracentral lobule,3.376
,639,−55,−47,30,40.0,Left inferior parietal lobule,−1.915
,559,39,22,8,,Right posterior part of orbital-fronto cortex and anterior part of insular cortex,−2.554
,499,39,−11,−23,20.0,Right fusiform gyrus,−2.038
,679,−28,25,5,,Left posterior part of orbital-fronto cortex and anterior part of insular cortex,−2.988
HC-AD,,,,,,,
,624,13,−16,36,24.0,Right mid-cingulate cortex,2.171
,845,13,−64,1,,Right lingual gyrus,1.851
,539,−31,−6,−28,20.0,Left temporal pole,−2.022
MCI-AD,,,,,,,
,"1,314",−47,−12,17,,Left posterior part of orbital-fronto cortex and anterior part of insular cortex,5.043
,703,−49,−45,43,40.0,Left inferior parietal lobule,2.192
,734,32,14,10,,Right posterior part of orbital-fronto cortex and anterior part of insular cortex,2.865
