Unnamed: 0_level_0,MNI coordinates,MNI coordinates,MNI coordinates
Regions of interest (ROIs),x,y,z
Right premotor cortex (PMC),26,−10,55
Right middle frontal gyrus (MFG),30,−1,43
Left primary motor cortex (M1),−38,−26,50
Left putamen,−28,2,4
Left insular cortex,−41,12,−9
Right vestibular cortex,42,−24,18
Left frontal eye field (FEF),−27,−9,64
Left posterior cingulate cortex (PCC),−12,−47,32
Right posterior parietal cortex (PPC),28,−72,40
Right superior posterior fissure,24,−81,−36
Left primary visual cortex (V1),−10,−70,10
Right primary visual cortex (V1),12,−66,10
Right cerebellar lobule V,16,−52,−22
Right cerebellar lobule VIII,20,−57,−53
