Region Name,Abbreviation,Region Name.1,Abbreviation.1
Precentral gyrus,PreCG,Lingual gyrus,LING
Superior frontal gyrus,SFG,Superior occipital gyrus,SOG
Orbitofrontal cortex (superior),ORBsup,Middle occipital gyrus,MOG
Middle frontal gyrus,MFG,Inferior occipital gyrus,IOG
Orbitofrontal cortex (middle),ORBmid,Fusiform gyrus,FFG
Inferior frontal gyrus (opercular),IFGoper,Postcentral gyrus,PoCG
Inferior frontal gyrus (triangular),IFGtri,Superior parietal lobule,SPL
Inferior frontal gyrus (orbital),IFGori,Inferior parietal lobule,IPL
Rolandic operculum,ROL,Supramarginal gyrus,SMG
Supplementary motor area,SMA,Angular gyrus,ANG
Olfactory cortex,OLF,Precuneus,PCUN
Superior frontal gyrus (medial),SFGmed,Paracentral lobule,PCL
Orbitofrontal gyrus (medial),ORBmed,Caudate,CAU
Rectus gyrus,REC,Putamen,PUT
Insula,INS,Pallidum,PAL
Anterior cingulate gyrus,ACG,Thalamus,THA
Middle cingulate gyrus,MCG,Heschl gyrus,HES
Posterior cingulate gyrus,PCG,Superior temporal gyrus,STG
Hippocampus,HP,Temporal pole (superior),TPOsup
Parahippocampal gyrus,PHG,Middle temporal gyrus,MTG
Amygdala,AMY,Temporal pole (medial),TPOmed
Calcarine cortex,CAL,Inferior temporal gyrus,ITG
Cuneus,CUN,Cerebellum,Cer
Vermis,Vms,,
