Group Study,Number of Subjects,Dataset,Method,Follow-Up,Year
RRMS and MS,16 patients with RRMS and 2 patients with possible MS9 HC,Task fMRIT2-LLT1-LL,Simple motor task,15–26 months,Pantano2014 [???]
MS,MS (11 cases)HC (9 cases),rs-fMRITask fMRIDTI,Cross-correlationFiber tracking,---,Mark J. Lowe2008 [???]
RRMS,13 patients with early RRMS19 HC,"rs-fMRIT1, T2",PASAT,12 months,B. Audoin2008 [???]
RRMS,20 patients with RRMS,rs-fMRIGM volumes and WM architecture,Stroop task and rs-fMRI,12 weeks,M. Filippi2012 [???]
RRMS,MS (18 cases)HC (18 cases),rs-fMRI,VBMSEINA 1,---,Bonavita2011 [???]
MS,MS (16 cases)HC (16 cases),rs-fMRIDTI,SIENATBSS 2,---,Hawellek2011 [???]
MS,MS (31 cases)HC (31 cases),rs-fMRI,FEW 3,---,Loitfelder2012 [???]
Early RRMS,MS (13 cases)HC (14 cases),rs-fMRI,ICA,---,Faivre2012 [???]
First-stage MS,MS (22 cases)HC (14 cases),rs-fMRI,Graph connectivity,---,Richiardi2012 [???]
Different MS,MS (42 cases)HC (42 cases),Task fMRI,Correlation,6 months,Rocca2014 [???]
RRMS,MS (55 cases)HC (24 cases),rs-fMRI,Correlation,12 months,Tona2014 [???]
MS and NMO,NMO (30 cases)MS (25 cases)HC (35 cases),"rs-fMRIDTIT1, T2",Cross-correlationFA analysisCortical thickness Analysis,---,Eshaghi2015 [???]
MS,MS (43 cases)HC (20 cases),"rs-fMRIT1, T2",CorrelationLesion segmentation,---,Zhong2016 [???]
RRMS and MS,18 cognitively impaired patients with RRMSControl group: 14 cognitively impaired patients with MS,NBVT2-LLrs-fMRI,FSL,8 weeks,S Bonavita2015 [???]
MS,MS (27 cases)HC (27 cases),Task fMRI,SPM,---,L Pfaff2019 [???]
RRMS,MS (12 cases)HC (12 cases),RS fMRI,CONN toolbox,12 months,V Fleischer2020 [???]
RRMS and SPMS,40 patients with RRMS and 28 patients with possible SPMS 4,RS fMRI,CONN toolbox,---,A Temniy2021 [???]
