Unnamed: 0,AD,Unnamed: 2,Normal
,Responder,Non-responder,
,,,
N,9,4,9
Age,76.2 ± 10.6,74.8 ± 3.0,71.5 ± 11.3
M:F,3:6,2:2,3:6
Days (Scan 1 – Scan 2),144.9 ± 43.5,132.5 ± 46.8,
MMSE (1st),18.4 ± 2.6???,19.0 ± 1.2???,28.7 ± 1.6
OT (0–5),2.4 ± 0.9???,1.8 ± 0.5???,4.6 ± 0.4
OP (0–5),3.3 ± 1.0???,3.0 ± 1.2???,5.0 ± 0.0
DR (0–3),1.0 ± 0.9???,0.8 ± 1.0???,2.4 ± 0.7
Calculation (0–5),1.7 ± 1.3???,2.8 ± 1.5???,4.6 ± 0.7
MMSE (2nd),22.1 ± 2.5,17.5 ± 2.4???,
OT (0–5),3.2 ± 1.2,1.3 ± 1.3???,
OP (0–5),4.3 ± 0.7,2.8 ± 1.7,
DR (0–3),0.9 ± 0.8,0.5 ± 1.0,
Calculation (0–5),2.9 ± 1.4,2.8 ± 1.5,
