Comparison,Brain regions,Peak MNI,Peak MNI,Peak MNI,Cluster size,F
Comparison,Brain regions,X,y,z,Cluster size,F
sFC,sFC,sFC,sFC,sFC,sFC,sFC
Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus
HC > SCD,Left precuneus,− 3,− 75,42,78,3.93
dFC,dFC,dFC,dFC,dFC,dFC,dFC
Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus,Left posterior hippocampus
HC > SCD,Left precuneus,− 3,− 51,42,103,4.94
Left anterior hippocampus,Left anterior hippocampus,Left anterior hippocampus,Left anterior hippocampus,Left anterior hippocampus,Left anterior hippocampus,Left anterior hippocampus
HC < SCD,Left olfactory cortex,− 6,18,− 15,15,− 3.60
HC < SCD,Left caudate nucleus,− 15,21,− 6,17,− 3.49
HC < SCD,Right caudate nucleus,15,21,0,29,− 3.56
Right posterior hippocampus,Right posterior hippocampus,Right posterior hippocampus,Right posterior hippocampus,Right posterior hippocampus,Right posterior hippocampus,Right posterior hippocampus
HC > SCD,Right precuneus,15,− 84,45,44,4.85
Right anterior hippocampus,Right anterior hippocampus,Right anterior hippocampus,Right anterior hippocampus,Right anterior hippocampus,Right anterior hippocampus,Right anterior hippocampus
HC < SCD,Right caudate nucleus,15,21,0,55,− 5.40
