Variable,Control (N = 79),Bipolar I (N = 109),Test statistic,p-Value
"Sex (males, females)","(27, 52)","(41, 68)",0.234???,0.628
Age (years; mean ± SD),39.8 ± 14.0,38.5 ± 13.2,−0.598††,0.550
Age range (years),18–70,18–66,,
Educational attainment (years),15.4 ± 2.09,15.0 ± 2.11,−1.268††,0.205
Self-reported SES???,6.24 ± 1.30,5.29 ± 1.96,−3.446††,<0.001???
ACE score,1.44 ± 1.84,3.52 ± 2.60,5.272††,<0.001???
YMRS score,0.92 ± 1.67,5.97 ± 5.99,7.654††,<0.001???
MADRS score,2.81 ± 4.52,14.4 ± 9.75,8.902††,<0.001???
Suicide attempts,0.03 ± 0.16,1.68 ± 3.93,6.639††,<0.001???
% time depressed???,,38.02 ± 25.87,,
% time manic???,,18.89 ± 17.55,,
"Medication class (on, off)","Medication class (on, off)","Medication class (on, off)","Medication class (on, off)","Medication class (on, off)"
Antidepressants,,"(59, 50)",,
Antipsychotics,,"(59, 50)",,
Sedatives,,"(44, 65)",,
Anticonvulsants,,"(45, 64)",,
Lithium,,"(30, 79)",,
Stimulants,,"(10, 99)",,
