Demographics,Demographics.1
Age (years) at start of study,38.3 ± 1.9 (22–56)
Males,18 (60%)
African American Race,19 (63%)
Years of education,13.0 ± 0.4 (8–24)
Full scale IQ (WASI),96 ± 2.2 (78–123)
Currently employed,20 (66%)
Reports current legal issues,6 (20%)
History of direct exposure to assault,13 (43%)
BMI,27.4 ± 1 (19.5–43)
Plasma TSH (µU/mL),1.05 ± 0.1 (0.39–3.16)
Age (years) of first alcohol drink,16.2 ± 0.8 (7–30)
Average number of drinks/ day,1.8 ± 0.3 (0–9)
Total duration (years) of alcohol drinking,9.0 ± 1.8 (0–39)
Nicotine smoking history,Nicotine smoking history
Age (years) of first smoking,16 ± 0.7 (8–30)
Number of cigarettes/days,17.7 ± 1.4 (7–40)
Total duration (years) of smoking,19.8 ± 1.9 (4–37)
Number of quit attempts,7.1 ± 1.7 (0–30)
Cumulative total duration (days) of abstinence,204 ± 101 (0–2920)
Reported withdrawal manifestations upon stopping,28 (93%)
Fagerstrom score,5.3 ± 0.3 (2–8)
Psychiatric assessments,Psychiatric assessments
Beck Depression Inventory,3.1 ± 0.6 (0–11)
Revised Social Anhedonia Scale,11.2 ± 1.3 (3–28)
Physical Anhedonia Scale,12.1 ± 1.5 (1–32)
Beck Anxiety Inventory,2.2 ± 0.6 (0–11)
Barratt Impulsiveness Scale,62 ± 1.7 (45–77)
Adult ADHD Self Report Scale,Adult ADHD Self Report Scale
Part A: Inattention,7.8 ± 0.9 (1–15)
Part B: Hyperactivity,8 ± 0.8 (1–17)
Toronto Alexithymia Scale (TAS-20),Toronto Alexithymia Scale (TAS-20)
Subscale 1: Difficulty identifying feelings,10 ± 0.8 (7–19)
Subscale 2: Difficulty describing feelings,7.8 ± 0.7 (5–18)
Subscale 3: Externally oriented thinking,18.2 ± 0.7 (10–24)
