Subject,Cervical spondylosis myelopathy,Healthy controls,P-value
n,33,33,
Age,54.78±8.41,53.52±8.13,0.752
Gender (male/female),16/17,15/18,0.95
Handedness (right/left),33/0,33/0,
Laterality of spinal cord compression (right/left/bilateral),17/12/4,,
Duration of symptoms (months),37.0±25.1,,
JOA scores,10.53±2.57,17±0,<0.0001
Motor upper,2.03±0.68,4±0,<0.0001
Motor lower,2.56±1.23,4±0,<0.0001
Sensory deficit,3.13±0.93,6±0,<0.0001
Bladder dysfunction,2.80±0.20,3±0,<0.0001
NDI scores,0.345±0.102,0.009±0.001,<0.0001
