Unnamed: 0,Lung cancer (n = 18),Lung cancer (n = 18).1,HCs (n = 21),p value
"Age, year",59.72 ± 9.04,59.72 ± 9.04,58.57 ± 9.61,0.703a
"Education, year",10.59 ± 4.25,10.59 ± 4.25,10.71 ± 1.88,0.904a
"Gender, male/female",13/5,13/5,13/8,0.828b
Histological diagnosis,Histological diagnosis,Histological diagnosis,Histological diagnosis,Histological diagnosis
Adenocarcinoma,9(50),9(50),,
Squamous cell carcinoma,7 (39),7 (39),,
SCLC,2 (11),2 (11),,
Tumor stage,Tumor stage,Tumor stage,Tumor stage,Tumor stage
Limited disease,1 (5),1 (5),,
Extensive disease,1 (5),1 (5),,
I,3 (17),3 (17),,
II,5(28),5(28),,
III,4 (22),4 (22),,
IV,4 (22),4 (22),,
,t0,t1,,
MMSE,26.78 ± 1.17,26.61 ± 1.19,27.19 ± 1.03,0.248a1;0.163a2;0.698a3
MoCA,22.22 ± 1.93,22.06 ± 2.94,25.76 ± 1.61,0.000*a1; 0.000*a2;0.817a3
