Characteristics,PD group,HC group,p‐value
"Age, years",61.70 ± 8.47,59.94 ± 8.65,.226
"Gender, male/female",34/36,30/40,.141
"Education, years",11.21 ± 3.65,12.13 ± 3.68,.611
Motor symptoms,,,
"Disease duration, years",4.50 ± 4.11,—,—
Hoehn–Yahr stage,1.73 ± 0.58,—,—
MDS‐UPDRS III,27.63 ± 11.99,—,—
"LEDD, mg",384.13 ± 294.33,—,—
Nonmotor symptoms,,,
BSIT,6.80 ± 2.74,8.91 ± 2.64,.000
MoCA,22.99 ± 3.81,25.84 ± 2.96,.000
RBD‐HK,21.69 ± 16.55,9.80 ± 7.17,.000
Epworth sleepiness scale,5.44 ± 4.46,4.39 ± 2.92,.099
HAMD,6.74 ± 4.81,0.89 ± 1.80,.000
STAI,71.29 ± 18.52,54.01 ± 7.89,.000
AES‐S,13.33 ± 8.86,4.73 ± 4.80,.000
Pain (UPDRS I‐1.9),0.60 ± 0.89,0.19 ± 0.40???,.007
