Unnamed: 0,Atlas,Discover,Accuracy,P value,Precision,Sensitivity,Specificity,2nd test
Feature selection,Brod.,0.0711,0.9,<0.001,0.8889,0.8889,0.9091,0.6667
,Brod.ce,0.0739,0.9,<0.001,0.8889,0.8889,0.9091,0.5556
,AAL,0.0699,0.925,<0.001,0.9412,0.8889,0.9545,0.7222
,AICHA,0.0669,1.0,<0.001,1.0,1.0,1.0,0.8333
,BN,0.0765,1.0,<0.001,1.0,1.0,1.0,0.8333
Whole brain,Brod.,–,0.525,0.3816,0.4667,0.3889,0.6364,–
,Brod.ce,–,0.5,0.4645,0.4375,0.3889,0.5909,–
,AAL,–,0.475,0.5455,0.4211,0.4444,0.5,–
,AICHA,–,0.6,0.1269,0.5833,0.3889,0.7727,–
,BN,–,0.575,0.1888,0.5385,0.3889,0.7273,–
