Characteristics,Genotype,HC (n = 133),BD (n = 69),t/χ2,p value
Age (years),AA,29.79 ± 9.16,28.23 ± 7.68,1.04,0.30
Age (years),CA,28.14 ± 8.21,25.62 ± 9.44,1.04,0.30
Age (years),CC,28.39 ± 7.25,30.94 ± 10.60,1.04,0.30
Sex (M:F),AA,11:13,4:9,1.29,0.26
Sex (M:F),CA,28:40,13:26,1.29,0.26
Sex (M:F),CC,14:27,5:12,1.29,0.26
Education level (years),,14.92 ± 3.40,13.03 ± 3.11,–,–
Handedness (Right/Left/Both),,127/5/1,66/2/1,–,–
"Medication, yes",,–,52(75.36%),,
Anti-depressants,,–,25(36.23%),,
Antipsychotics,,–,30(43.48%),,
Mood stabilizer,,–,48(57.97%),,
HWE,χ2,0.21,1.24,–,–
HWE,p value,0.65,0.26,–,–
Allele,A-allele,116 (0.44),65 (0.47),–,–
Allele,C-allele,150 (0.56),73 (0.53),–,–
