Unnamed: 0,RW,SD,P-value
Digit Symbol Test (score),67.5 ± 10.3,64.5 ± 10.9,0.03
Trail-Making Test A (seconds),20.3 ± 4.7,21.3 ± 5.9,0.396
Trail-Making Test B (seconds),37.5 ± 11.9,38.0 ± 14.3,0.787
Digit Span Test (score),14.6 ± 2.6,13.7 ± 2.8,0.021
Complex Figure Test-copy (score),35.2 ± 1.1,34.9 ± 1.8,0.421
"Complex Figure Test-copy (time, seconds)",136.6 ± 43.5,133.3 ± 45.1,0.788
Complex Figure Test-immediate (score),24.5 ± 8.6,22.9 ± 7.3,0.17
"Complex Figure Test-immediate (time, seconds)",108.4 ± 41.2,122.5 ± 48.8,0.272
Complex Figure Test-delay (score),24.3 ± 7.9,22.1 ± 6.9,0.034
"Complex Figure Test-delay (time, seconds)",67.4 ± 28.2,84.6 ± 37.2,0.022
