Regions,Voxels,Brodmann area,Montreal Neurological Institute (MNI) coordinates,Montreal Neurological Institute (MNI) coordinates,Montreal Neurological Institute (MNI) coordinates,Peak T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1
Bilateral precentral/postcentral gyrus and supplementary motor area,129,6/3/4,9,-18,75,5.68
Right parahippocampal gyrus and fusiform gyrus,42,37/36,45,-15,-27,5.18
Left inferior occipital gyrus,42,18,-30,-95,-12,5.03
Right superior frontal gyrus,65,8,24,30,48,–5.14
Bilateral posterior cingulate gyrus,41,31,-3,-42,33,–4.87
Bilateral medial frontal gyrus and anterior cingulate gyrus,38,10/32/9,-3,45,15,–4.84
Right cerebellum anterior lobe and parahippocampal gyrus,42,36/37,18,-48,-18,5.14
Left cerebellum anterior lobe,36,,-9,-48,-15,5.81
Right cerebellum posterior lobe,51,,3,-60,-48,–5.74
Right cerebellum posterior lobe,45,,27,-90,-39,–5.16
Right cerebellum posterior lobe,82,,42,-66,-42,–4.78
