Subject,Number of clusters,Time spent (s) before any state transition (mean ± standard deviation),Time spent (s) in each cluster (descending)
#1,11,9.79 ± 18.65,"350, 329, 116, 33, 31, 28, 22, 17, 13, 10, 1"
#2,7,35.19 ± 67.08,"777, 69, 60, 26, 13, 4, 1"
#3,16,16.18 ± 21.62,"456, 172, 79, 69, 62, 27, 22, 19, 11, 10, 6, 4, 4, 3, 3, 3"
#4,4,30.65 ± 105.84,"732, 179, 24, 15"
#5,12,11.59 ± 18.61,"348, 307, 112, 70, 68, 16, 8, 8, 5, 4, 2, 2"
#6,7,15.57 ± 36.98,"775, 135, 24, 9, 3, 2, 2"
#7,6,13.97 ± 34.38,"636, 143, 105, 57, 5, 4"
#8,15,13.19 ± 30.04,"662, 78, 59, 56, 23, 19, 18, 11, 9, 7, 4, 1, 1, 1, 1"
#9,14,10.92 ± 14.45,"294, 149, 132, 85, 81, 65, 53, 49, 14, 12, 9, 5, 1, 1"
#10,10,12.18 ± 20.94,"369, 226, 220, 68, 26, 25, 8, 6, 1, 1"
#11,7,24.36 ± 43.06,"591, 196, 112, 26, 20, 4, 1"
#12,6,13.57 ± 24.68,"506, 277, 77, 51, 38, 1"
#13,15,7.98 ± 11.36,"574, 147, 47, 39, 36, 34, 15, 15, 15, 12, 5, 5, 3, 2, 1"
#14,11,12.18 ± 48.36,"534, 140, 123, 53, 38, 36, 12, 7, 4, 2, 1"
#15,16,10.78 ± 19.03,"346, 296, 147, 65, 42, 11, 11, 5, 5, 5, 4, 3, 3, 3, 2, 2"
#16,10,13.19 ± 25.68,"839, 29, 23, 21, 16, 9, 8, 3, 1, 1"
#17,5,45.24 ± 101.86,"851, 74, 15, 9, 1"
#18,14,10.88 ± 12.97,"476, 116, 108, 96, 52, 34, 26, 11, 7, 6, 5, 5, 4, 4"
#19,12,11.88 ± 22.20,"659, 169, 25, 22, 15, 13, 13, 12, 8, 7, 6, 1"
#20,9,27.14 ± 70.18,"813, 84, 20, 17, 7, 4, 2, 2, 1"
#21,10,25.00 ± 44.62,"582, 326, 13, 11, 6, 4, 3, 2, 2, 1"
Summary (mean ± standard deviation),10.52 ± 4.05,13.47 ± 35.95,90.27 ± 177.96
