Unnamed: 0,Region,N of voxels,Z,x,y,z
vmPFC,,,,,,
FD < HC,L dorsal ACC,652,4.7,−8,46,16
FD > HC,L caudate,336,3.36,−14,16,8
FD > HC,L putamen,336,3.35,−20,12,−8
FD > HC,L cerebellum (crus I/lobule VI),277,3.92,−12,−78,−22
MobFD<oHC,R visual associative cortex,274,4.25,18,−86,2
FixFD<yHC,L dorsal ACC,458,4.85,−8,46,16
FixFD<yHC,L premotor and SMA,247,3.25,−56,6,34
FixFD<yHC,L primary motor cortex,247,3.14,−50,−12,32
FixFD>yHC,L caudate,334,3.5,−16,14,8
FixFD>yHC,L putamen,334,3.24,−20,12,−8
rTPJ,,,,,,
FD<HC,L dorsal PFC,579,4.3,−40,10,42
FD<HC,L rostral PFC,291,3.32,−22,54,12
MobFD<oHC,L rostral PFC,413,4.21,−22,48,18
MobFD>oHC,R primary somatosensory cortex,550,4.35,40,−24,38
MobFD>oHC,R caudate,397,4.4,12,18,12
FixFD<yHC,L premotor and SMA,564,3.59,−32,−2,52
FixFD<MobFD,L frontal eye field,234,3.93,−20,22,48
dACC,,,,,,
FD<HC,R putamen,582,4.75,30,−10,−6
FD<HC,R insula,582,4.25,39,−4,0
FixFD<yHC,R superior temporal gyrus,"1,575",4.71,54,−24,4
FixFD<yHC,R primary motor cortex,"1,575",4.2,54,−6,30
FixFD<yHC,R putamen,"1,575",3.98,30,−10,−6
FixFD<yHC,L primary somatosensory cortex,487,3.49,−58,−14,36
FixFD<yHC,L primary motor cortex,487,3.27,−48,−10,30
FixFD<yHC,L supramarginal gyrus,487,3.74,−54,−22,34
FixFD<yHC,R fusiform gyrus,325,3.65,40,−62,−10
FixFD<MobFD,R primary motor cortex,772,4.21,56,−4,30
FixFD<MobFD,R supramarginal gyrus,772,3.8,56,−26,42
FixFD<MobFD,R primary somatosensory cortex,772,3.72,50,−24,42
FixFD<MobFD,R premotor cortex and SMA,772,3.59,54,−8,42
FixFD<MobFD,L primary somatosensory cortex,314,3.8,−56,−16,36
FixFD<MobFD,L primary motor cortex,314,3.68,−58,−10,22
FixFD<MobFD,L supramarginal gyrus,314,3.56,−54,−22,34
FixFD<MobFD,R premotor cortex and SMA,314,3.55,−52,−4,36
FixFD<MobFD,L fusiform gyrus,282,3.88,−28,−64,−8
FixFD<MobFD,L visual associative cortex,282,3.34,−32,−86,2
Left MDN,,,,,,
FD < HC,"R thalamus, prefrontal connections",225,3.5,12,−18,4
MobFD<oHC,"R thalamus, prefrontal connections",482,4.1,6,−22,4
MobFD<oHC,"L thalamus, prefrontal connections",482,3.33,−10,−12,2
MobFD<oHC,R retrosplenial cortex,482,3.23,16,−38,2
MobFD>oHC,R primary somatosensory cortex,324,4.08,40,−28,42
MobFD>oHC,R posterior cingulate,303,3.58,16,−60,36
MobFD>oHC,L visual associative cortex,281,4.17,−22,−78,−8
MobFD>oHC,R associative somatosensory cortex,213,4.16,24,−44,56
FixFD<yHC,L superior parietal lobule,581,4.73,28,−78,36
FixFD<yHC,R visual associative cortex,245,4.01,6,−82,−2
FixFD<MobFD,R precuneus/superior parietal,767,4.71,10,−66,32
FixFD<MobFD,R dorsal PCC,767,4.34,14,−62,36
FixFD<MobFD,R angular gyrus,767,3.81,36,−68,42
FixFD<MobFD,L visual associative cortex,431,4.27,−16,−74,34
FixFD<MobFD,L visual associative cortex,417,3.78,−20,−78,−10
FixFD<MobFD,R visual associative cortex,237,3.74,12,−80,−10
FixFD<MobFD,R primary visual cortex,237,3.26,14,−92,4
Right MDN,,,,,,
