Cerebellar seeds,Brain regions,Voxel,"MNI (x, y, z)",T values,Cohen’s d
MUD > HC,,,,,
Executive control network,,,,,
R Crus IECN1,R Parahippocampal gyrus,79.0,"24, -39, -18",5.0328,1.32
L Crus IIECN2,R Parahippocampal gyrus,32.0,"27, -9, -30",4.2047,1.22
R Lobule VIECN3,R Precuneus,40.0,"9, -60, 69",4.9231,1.07
Affective-limbic network,,,,,
R Lobule VILN,L Calcarine,53.0,"-9, -99, -9",4.1318,0.91
,L Calcarine,162.0,"-18, -72, 6",4.6142,0.92
L Lobule VILN,R Precuneus,43.0,"6, -63, 66",4.5102,1.0
,,,,,
MUD < HC,,,,,
Sensorimotor network,,,,,
R Lobule VSMN,L Precentral gyrus,31.0,"-36, -30, 69",-4.5384,1.17
