Clusters,Brain regions (AAL template),Voxels,Peak t value,Peak MNI coordinate [x y z]
1.0,Left superior frontal gyrus,70.0,3.93,-12 48 48
1.0,Left middle frontal gyrus (DLPFC),61.0,3.93,-12 48 48
1.0,"Left superior frontal gyrus, medial",41.0,3.93,-12 48 48
,,,,
2.0,Left superior frontal gyrus (DMPFC),118.0,4.65,9 60 39
2.0,Right superior frontal gyrus (DMPFC),70.0,4.65,9 60 39
,,,,
3.0,Left angular gyrus,142.0,5.85,-48 -75 39
,,,,
4.0,Left precuneus (PCC),129.0,,0 -39 30
4.0,Right precuneus (PCC),69.0,4.2,0 -39 30
4.0,Posterior cingulate gyrus (PCC),54.0,,0 -39 30
,,,,
5.0,Right postcentral gyrus,171.0,-3.99,27 -21 42
5.0,Right precentral gyrus,128.0,-3.99,27 -21 42
,,,,
6.0,Left middle temporal gyrus,175.0,-4.72,-39 -60 6
6.0,Left superior temporal gyrus,162.0,-4.72,-39 -60 6
6.0,Left postcentral gyrus,148.0,-4.72,-39 -60 6
,,,,
7.0,Right superior temporal gyrus,125.0,-4.1,57 -15 -9
7.0,Right middle temporal gyrus,39.0,-4.1,57 -15 -9
