Source→Target,Method,ACC (%),Pre (%),Rec (%),F1 (%),BAC (%),NPV (%),AUC (%)
,DC,53.54 ± 1.88,46.33 ± 0.25,54.60 ± 1.89,50.55 ± 9.32,54.17 ± 1.45,62.86 ± 4.04,54.60 ± 1.89
,BD,56.64 ± 1.25,49.29 ± 1.01,58.17 ± 0.23,57.00 ± 0.90,58.09 ± 0.52,67.06 ± 0.54,58.17 ± 0.23
,BDC,54.43 ± 1.87,47.48 ± 1.55,56.51 ± 2.12,56.17 ± 2.07,56.3 ± 2.02,65.54 ± 2.69,56.51 ± 2.12
,DNN,58.85 ± 0.62,58.67 ± 1.60,58.78 ± 1.70,58.39 ± 1.17,58.78 ± 1.70,65.99 ± 2.73,51.72 ± 4.19
NYU→UM,GCN,61.07 ± 1.25,60.65 ± 0.95,60.84 ± 0.89,60.61 ± 1.05,60.84 ± 0.89,67.49 ± 0.35,59.28 ± 0.02
,DNNC,61.07 ± 1.25,61.36 ± 3.49,61.11 ± 3.59,60.27 ± 2.35,61.11 ± 3.59,69.10 ± 6.80,59.89 ± 9.31
,MMD,66.82 ± 0.63,66.20 ± 0.69,66.04 ± 0.46,66.09 ± 0.45,66.12 ± 0.35,71.32 ± 0.16,65.77 ± 1.32
,DANN,66.82 ± 0.63,66.72 ± 0.20,67.07 ± 0.16,66.56 ± 0.45,65.19 ± 2.51,70.61 ± 5.57,64.35 ± 0.84
,A2GCN (Ours),72.27 ± 0.51,71.94 ± 0.50,72.35 ± 0.52,71.97 ± 0.49,72.35 ± 0.52,78.23 ± 0.97,70.90 ± 1.53
,DC,58.79 ± 2.86,57.51 ± 2.76,58.77 ± 2.88,57.92 ± 3.33,58.78 ± 2.89,60.03 ± 3.02,58.77 ± 2.88
,BD,56.08 ± 2.87,55.04 ± 2.97,56.02 ± 2.89,53.89 ± 3.47,56.00 ± 2.89,56.99 ± 2.81,56.02 ± 2.89
,BDC,58.79 ± 0.95,57.74 ± 0.84,58.75 ± 0.97,57.34 ± 1.41,58.74 ± 0.98,59.75 ± 1.10,60.11 ± 0.96
,DNN,60.14 ± 0.95,60.11 ± 0.96,60.05 ± 0.88,60.03 ± 0.85,60.05 ± 0.88,60.76 ± 0.32,59.83 ± 1.91
NYU→UCLA,GCN,61.49 ± 0.95,61.50 ± 1.00,61.44 ± 1.09,61.40 ± 1.08,61.44 ± 1.09,62.44 ± 2.06,58.19 ± 1.76
,DNNC,60.81 ± 3.82,60.88 ± 3.92,60.60 ± 3.83,60.46 ± 3.85,60.60 ± 3.83,60.47 ± 3.29,53.77 ± 3.98
,MMD,66.89 ± 0.96,66.94 ± 0.85,66.92 ± 0.88,66.88 ± 0.94,66.92 ± 0.88,68.50 ± 0.11,64.51 ± 1.91
,DANN,66.90 ± 0.95,67.14 ± 1.34,66.96 ± 1.14,66.82 ± 0.93,66.96 ± 1.14,69.28 ± 3.68,65.87 ± 0.52
,A2GCN (Ours),69.82 ± 1.56,70.09 ± 1.56,69.83 ± 1.56,69.71 ± 1.56,69.83 ± 1.56,71.38 ± 1.56,67.03 ± 1.56
,DC,53.66 ± 0.86,46.31 ± 1.41,52.66 ± 1.41,45.62 ± 3.76,52.65 ± 1.46,59.00 ± 1.41,52.66 ± 1.41
,BD,57.02 ± 0.43,50.33 ± 0.46,56.45 ± 0.68,51.53 ± 1.66,56.52 ± 0.73,62.59 ± 0.89,56.46 ± 0.67
,BDC,53.66 ± 0.86,47.23 ± 0.91,54.46 ± 1.27,53.06 ± 2.11,54.48 ± 1.24,61.70 ± 1.65,54.46 ± 1.27
,DNN,59.15 ± 1.73,58.57 ± 1.74,58.65 ± 1.75,58.59 ± 1.75,58.65 ± 1.75,64.45 ± 1.58,55.49 ± 2.08
UM→NYU,GCN,63.11 ± 0.43,62.96 ± 0.03,63.15 ± 0.09,62.83 ± 0.20,63.15 ± 0.09,69.27 ± 1.03,64.35 ± 0.24
,DNNC,60.68 ± 1.29,59.99 ± 1.65,60.00 ± 1.85,59.95 ± 1.73,60.00 ± 1.85,65.49 ± 2.21,62.68 ± 3.57
,MMD,66.16 ± 1.29,65.44 ± 1.34,65.08 ± 1.26,65.18 ± 1.27,65.08 ± 1.26,69.04 ± 0.94,66.18 ± 2.17
,DANN,66.16 ± 0.43,65.59 ± 0.67,65.50 ± 1.09,65.47 ± 0.90,65.50 ± 1.09,70.14 ± 2.05,65.34 ± 0.69
,A2GCN (Ours),68.70 ± 0.70,68.73 ± 0.63,69.07 ± 0.65,68.56 ± 0.68,69.07 ± 0.65,75.52 ± 0.71,66.77 ± 0.43
,DC,54.73 ± 0.95,53.81 ± 0.68,54.65 ± 1.00,51.00 ± 3.56,54.57 ± 1.09,55.48 ± 1.32,54.65 ± 1.00
,BD,54.73 ± 0.96,53.28 ± 1.10,54.80 ± 0.86,55.03 ± 0.33,54.79 ± 0.88,56.32 ± 0.62,54.80 ± 0.86
