Unnamed: 0_level_0,DR Group,DM Group,HC Group,DR Group/DM Group,DR Group/DM Group,DR Group/HC Group,DR Group/HC Group
Unnamed: 0_level_1,DR Group,DM Group,HC Group,T-Values,p-values,T-Values,p-values
Gender (male/female),18/17,10/12,16/22,,,,
Age (years),53.37±7.56,55.23±7.73,54.46±8.06,−0.576,0.485,−0.545,0.532
Handedness,35 R,22 R,38 R,,,,
Education (years),11.85±1.47,12.05±2.17,12.20±1.69,−0.354,0.896,−0.335,0.754
BMI (kg/m2),23.56±2.43,23.28±2.76,23.02±1.98,1.258,0.187,1.548,0.124
Duration of diabetes (years),5.52±3.96,5.45±2.65,,1.048,0.654,,
Duration of DR (years),1.34±0.76,,,,,,
BCVA-OD,0.48±0.28,1.08±0.25,1.16±0.15,−14.963,<0.001,−15.645,<0.001
BCVA-OS,0.43±0.31,1.14±0.18,1.24±0.22,−13.649,<0.001,−12.630,<0.001
Intraocular pressure,15.79±1.37,15.46±2.43,15.12±1.49,1.247,0.573,1.470,0.472
HbA1c (%),7.25±1.54,7.38±1.68,5.64±0.96,−0.475,0.726,2.690,<0.001
Fasting blood glucose(mmol/L),7.96±2.45,7.75±2.24,5.75±1.05,−0.568,0.564,3.254,<0.001
