BRAIN AREAS,BRODMANN AREAS,R-PG,R-PG,L-PG,L-PG,R-SMA,R-SMA,L-SMA,L-SMA
Unnamed: 0_level_1,Unnamed: 1_level_1,VOXELS,Z MAX,VOXELS,Z MAX,VOXELS,Z MAX,VOXELS,Z MAX
Angular gyrus L,"39, 19, 22",72,2.83,33,2.86,0,0.0,0,0.0
Angular gyrus R,"39, 19, 22",685,3.29,195,2.97,0,0.0,51,2.8
Middle Cingulate L,"31, 32, 23, 24",0,0.0,7,2.5,0,0.0,78,3.19
Middle Cingulate R,"31, 32, 23, 24",13,2.57,3,2.46,0,0.0,31,2.6
Posterior Cingulate L,"31, 23, 118",0,0.0,4,2.74,0,0.0,0,0.0
Posterior Cingulate R,"31, 23, 118",40,3.01,23,2.91,0,0.0,5,2.63
Middle Frontal L,"6, 8, 9, 10",259,2.88,696,3.29,0,0.0,469,3.36
Middle Frontal R,"6, 8, 9, 10",211,3.04,361,3.31,363,3.09,398,3.32
Superior Frontal L,"6, 8, 9, 10",132,2.97,413,3.2,0,0.0,196,3.12
Superior Frontal R,"6, 8, 9, 10",257,2.91,356,3.05,158,2.99,233,3.24
Superior Occipital L,"18, 19, 7, 31",187,2.98,130,3.04,0,0.0,144,3.07
Superior Occipital R,"18, 19, 7, 31",53,2.81,39,2.91,0,0.0,0,0.0
Superior Parietal L,"7, 19",167,2.91,207,2.9,0,0.0,162,3.35
Superior Parietal R,"7, 19",115,2.95,17,2.77,0,0.0,191,3.12
Postcentral gyrus L,"1, 2, 3, 40, 43",201,2.9,235,2.86,0,0.0,373,3.23
Postcentral gyrus R,"1, 2, 3, 40, 43",121,2.93,134,3.11,0,0.0,164,3.19
Precentral gyrus L,"3, 4, 6",15,2.54,154,2.99,0,0.0,370,3.38
Precentral gyrus R,"3, 4, 6",61,3.05,264,3.08,11,2.61,250,3.46
Precuneus L,"31, 7, 23, 29",57,2.79,59,2.96,0,0.0,8,2.46
Precuneus R,"31, 7, 23, 29",141,2.85,6,2.35,0,0.0,62,2.81
SMA L,6,18,2.81,150,3.3,0,0.0,57,2.88
SMA R,6,1,2.33,58,3.25,0,0.0,97,2.84
