Brain regions,Discriminative weight (%),ROI index,Cluster Size
FC of the left V1,FC of the left V1,FC of the left V1,FC of the left V1
Vermis_9,1.862,115,44
Left inferior occipital gyrus,1.678,53,309
Right inferior occipital gyrus,1.592,54,275
Left postcentral gyrus,1.577,57,1093
Cerebelum_6_L,1.442,99,502
FC of the right V1,,,
Right paracentral lobule,2.978,70,220
Cerebelum_10_L,2.831,107,44
Cerebelum_6_L,1.624,99,502
Right superior parietal gyrus,1.612,60,601
Right inferior occipital gyrus,1.389,54,275
