Unnamed: 0,Model,X,Y,Mediator,p
Within‐network connectivity models,1.0,AGE,DMN,ARAS–DMN,**.002
,2.0,AGE,SN,ARAS–SN,.309
,3.0,AGE,DAN,ARAS–DAN,.378
,4.0,AGE,FPCN,ARAS–FPCN,.608
Between‐network connectivity models,5.0,AGE,DMN–SN,ARAS–DMN,**.005
,,AGE,DMN–SN,ARAS–SN,.367
,6.0,AGE,DMN–DAN,ARAS–DMN,*.031
,,AGE,DMN–DAN,ARAS–DAN,.455
,7.0,AGE,DMN–FPCN,ARAS–DMN,.391
,,AGE,DMN–FPCN,ARAS–FPCN,.296
,8.0,AGE,SN–DAN,ARAS–SN,*.024
,,AGE,SN–DAN,ARAS–DAN,.630
,9.0,AGE,SN–FPCN,ARAS–SN,.053
,,AGE,SN–FPCN,ARAS–FPCN,.142
,10.0,AGE,DAN–FPCN,ARAS–DAN,.769
,,AGE,DAN–FPCN,ARAS–FPCN,.126
