Unnamed: 0_level_0,Channels,Channels,Channels,Channels,Channels
ROI,11 months,18 months,24 months,30 months,36 months
Left IFG,"1, 2, 3, 4","1, 2, 3, 4","1, 2, 3","1, 2, 3","1, 2, 3"
Right IFG,"14, 15, 16, 17","14, 15, 16, 17","14, 15, 16, 17","14, 15, 16, 17","14, 15, 16, 17"
Left MTG/STG,"5, 7, 8, 10","5, 7, 8, 10","5, 7, 8, 10","5, 7, 8, 10","5, 7, 8, 10"
Right MTG/STG,"18, 20, 21, 23","18, 20, 21, 23","18, 20, 21, 23, 24","18, 20, 21, 24, 33","18, 20, 21, 24"
Left posterior temporoparietal lobe,"11, 13","11,13","11,13, 36, 37","11, 13, 36, 37","11, 13, 36, 37"
Right posterior temporoparietal lobe,"24, 26","24, 26","26, 44","26, 44","26, 43, 44"
Left TPJ,"9, 12","9, 12","9, 12, 34, 35","9, 12, 34, 35","9, 12, 35"
Right TPJ,"22,25","22, 25","22, 25, 42, 43","22, 23, 25, 42, 43","22, 23, 25, 42"
mPFC,"27, 28, 29, 30","27, 28, 29, 30","27, 28, 29, 30","27, 28, 29, 30","27, 28, 29, 30"
