Unnamed: 0_level_0,MNI Coordinates,MNI Coordinates,MNI Coordinates,Unnamed: 4_level_0
Region,x,y,Z,T-value
MCI > SD,,,,
Temporal_Inf_L,−45,−42,−21,4.68
Lingual_L,−12,−57,0,4.39
MCI > MCI-SD,,,,
Temporal_Sup_R,51,−51,21,4.21
Frontal_Mid_L,−45,18,36,4.27
MCI < MCI-SD,,,,
ParaHippocampal_L,−33,−39,−9,−3.32
Precuneus_L,0,−57,15,−3.17
Temporal_Mid_L,−57,−36,6,−4.01
SD > MCI-SD,,,,
Heschl_R,36,−27,12,4.35
Insula_L,−33,0,15,3.78
Precentral_R,42,−18,48,5.16
SD < MCI-SD,,,,
Occipital_Mid_R,27,−87,6,−4.24
Precuneus_L,−3,−54,24,−3.97
Cerebelum_6_R,15,66,−24,−4.31
