Unnamed: 0,Good outcome (N = 71),Intermediate outcome (N = 30),Poor outcome (N = 36),Statistics
"Age in years, mean (sd)",18.6 (4.9),19.3 (5.3),18.6 (4.8),F(2134) = 0.28
[range],[13 to 32],[14 to 32],[14 to 34],p = .76
"Positive family history, N (%)",6 (9%),3 (10%),5 (14%),χ2 = 0.77
"Positive family history, N (%)",6 (9%),3 (10%),5 (14%),p = .68
"GAF change in percentage, mean",−29.7 (11.6),−28.3 (6.2),−33.5 (8.5),F(2134) = 2.71
(sd) [range],[−73 to −7],[−43 to −20],[−47 to −4],p = .07
"SIPS P1 score, mean (sd)",3.3 (1.8),3.2 (1.7),3.7 (1.8),F(2134) = 0.88
[range],[0 to 6],[0 to 6],[0 to 6],p = .42
"SIPS P2 score, mean (sd)",3.3 (1.7),3.6 (1.7),3.4 (1.7),F(2134) = 0.19
[range],[0 to 6],[0 to 6],[0 to 6],p = .83
"HVLT-R score, mean (sd)",23.4 (5.7),23.2 (5.4),20.5 (4.7),F(2134) = 3.6
[range],[9 to 33],[11 to 33],[11 to 29],p = .03
"BACS-SC score, mean (sd)",59.8 (8.7),56.5 (11.1),55.3 (10.0),F(2134) = 2.9
[range],[42 to 75],[18 to 75],[28 to 73],p = .05
