Unnamed: 0_level_0,MT (n = 11),MT (n = 11),TC (n = 11),TC (n = 11),t or x2,p
Unnamed: 0_level_1,M/n,SD/%,M/n,SD/%,t or x2,p
"Age, years",39.14,5.93,34.28,4.09,−2.46,<10−2
"Education, years",8.55,1.75,9.82,1.4,0.15,0.17
Handedness Preference Index1,81.82,54.88,74.24,44.44,0.35,0.73
Religiosity,,,,,,
Chinese folk religions2,11.0,100.0,0.0,0.0,,
Christian,0.0,0.0,11.0,100.0,,
"Heroin onset age, years",23.27,4.84,19.36,4.37,−1.99,0.10
"Methadone daily dose, mg",54.47,20.82,,,,
"Length of treatment, months",12.0,10.12,43.18,19.67,4.68,<10−3
Current psychiatric disorder,,,,,,
Any affective disorders,1.0,9.09,0.0,0.0,1.05,0.31
Any anxiety disorders,0.0,0.0,2.0,18.18,2.20,0.14
Urine drug testing,,,,,,
Morphine +,6.0,54.54,0.0,0.0,8.25,<10−2
Amphetamine +,1.0,9.09,0.0,0.0,1.05,0.31
Days of drug use in past 4 weeks,,,,,,
"Alcohol, days",3.18,5.17,0.0,0.0,−2.04,0.10
"Heroin, days",9.64,10.87,0.0,0.0,−2.94,<10−2
"Methamphetamine, days",0.36,0.67,0.0,0.0,−1.79,0.10
Cambridge gambling task*,,,,,,
Risk adjustment (RA),1.06,1.31,1.26,1.02,0.63,0.56
