Classifier,Feature,ACC (mean ± sem),Sen,Spe,AUC
A.KNN,MD,86.90% ± 0.80%,0.938,0.778,0.92
,FA,75.70% ± 0.90%,0.905,0.571,0.853
B. RF,MD,84.80% ± 0.90%,0.916,0.781,0.935
,FA,81.40% ± 1.00%,0.878,0.743,0.902
C. SVM linear,MD,86.20% ± 0.80%,0.905,0.808,0.937
,FA,81.40% ± 0.80%,0.891,0.728,0.742
D. SVM poly,MD,78.50% ± 1.20%,0.965,0.609,0.951
,FA,77.50% ± 1.20%,0.877,0.672,0.8
E. SVM rbf,MD,89.40% ± 0.70%,0.938,0.849,0.954
,FA,79.00% ± 0.80%,0.841,0.738,0.901
F. SVM sigmoid,MD,88.20% ± 0.60%,0.945,0.806,0.946
,FA,67.30% ± 1.60%,0.886,0.418,0.635
