Feature ranking order,Feature ranking order.1,ROI pairs for connectivity,ROI pairs for connectivity.1
1,HIP-THA L,Hippocampus,Thalamus
2,HIP-AMYG R,Hippocampus,Amygdala
3,HIP-THA R,Hippocampus,Thalamus
4,HIP-PHIP L,Hippocampus,Parahippocampal gyrus
5,HIP-PCIN L,Hippocampus,Posterior cingulate
6,HIP-T1 L,Hippocampus,Superior temporal gyrus
7,HIP-T1 R,Hippocampus,Superior temporal gyrus
8,HIP-T1P R,Hippocampus,Temporal pole: superior temporal gyrus
9,AMYG-F2O R,Amygdala,"Middle frontal gyrus, orbital part"
10,HIP-HES L,Hippocampus,Heschl gyrus
11,HIP-FUSI R,Hippocampus,Fusiform gyrus
12,THA-PUT L,Thalamus,"Lenticular nucleus, putamen"
13,THA-CAU L,Thalamus,Caudate nucleus
14,THA-PAL L,Thalamus,"Lenticular nucleus, pallidum"
15,PUT-PAL L,"Lenticular nucleus, putamen","Lenticular nucleus, pallidum"
16,THA-CAU R,Thalamus,Caudate nucleus
17,THA-F1O L,Thalamus,"Superior frontal gyrus, orbital part"
18,THA-F1O R,Thalamus,"Superior frontal gyrus, orbital part"
19,THA-F2O R,Thalamus,"Middle frontal gyrus, orbital part"
20,THA-IN L,Thalamus,Insula
21,THA-ACIN R,Thalamus,Anterior cingulate and paracingulate gyri
22,THA-IN R,Thalamus,Insula
23,THA-ACIN L,Thalamus,Anterior cingulate and paracingulate gyri
24,THA-F1 L,Thalamus,"Superior frontal gyrus, dorsolateral"
25,THA-F1 R,Thalamus,"Superior frontal gyrus, dorsolateral"
