Comparison with the previous studies,Classifier,Subjects,Feature,Database,Performance,Performance
Unnamed: 0_level_1,Unnamed: 1_level_1,MCI/NC,Unnamed: 3_level_1,Unnamed: 4_level_1,ACC,AUC
???,KNN,15/15,Network,Local,60.0%,0.560
Our study,KNN,42/54,Network,Local,86.9%,0.920
???,RF,90/89,MD/FA voxel,ADNI,54.0%,0.600
???,RF,169/379,Network,ADNI/NACC,75.0%,0.850
Our study,RF,42/54,Network,Local,84.8%,0.935
???,SVM linear,64/64,MD/FA voxel,Local,78.9%,0.856
Our study,SVM linear,42/54,Network,Local,86.2%,0.937
???,SVM rbf,79/204,FA voxel,SMA,71.1%,0.700
???,SVM rbf,35/42,MD/FA voxel,EDSD,77.0%,0.680
???,SVM rbf,43/70,FA voxel,ADNI,78.5%,0.758
???,SVM rbf,113/50,Network,ADNI,79.0%,-
???,SVM rbf,58/52,MD voxel,ADNI,79.4%,0.788
Our study,SVM rbf,42/54,Network,Local,89.4%,0.954
