Seeds,Group,"MNIx, y, z",Voxels,T Values,Side,Brain Region
Frontal_Sup_Medial_L,Checkers > HCs,"12, 15, 15",14,13.1601,R,caudate
Precuneus_L,-,-,-,-,-,-
Frontal_Mid_R,Checkers > Washers,"48, −66, −48",4,3.9659,R,cerebelum_crus2
Frontal_Mid_R,Checkers > Washers,"−51, −36, −18",4,4.7955,L,inferior temporal gyrus
Frontal_Mid_R,Checkers > Washers,,2,,L,middle temporal gyrus
Frontal_Mid_R,Checkers > Washers,"12, 66, −18",3,4.5508,R,superior orbital frontal gyrus
Frontal_Mid_R,Checkers > Washers,"−63, −48, −15",1,3.6373,L,inferior temporal gyrus
Frontal_Mid_R,Checkers > Washers,"−48, −3, 21",1,3.5563,L,precentral gyrus
Frontal_Mid_R,Checkers > Washers,"36, 12, 39",4,4.7987,R,middle frontal gyrus
Frontal_Mid_R,Checkers > Washers,"−12, 27, 42",1,3.5606,L,superior frontal gyrus
,Checkers < Washers,"33, 33, −9",1,−3.6343,R,inferior orbital frontal gyrus
