Network,Seed,"Peak co-ordinates (x, y, z)",Region
DMN,1,-0.5; +57.5; +3.5,L & R anterior cingulate
,2,-0.5; -52.5 + 31.5,L & R precuneus
,3,+47.5; -68.5; +31.5,R angular gyrus
,4,-40.5; -78.5; +39.5,L precuneus
,5,+11.5; -56.5; +15.5,R posterior cingulate
,6,-28.5; -38.5; -10.5,L hippocampal gyrus
,7,+25.5; -34.5; -12.5,R hippocampal gyrus
,8,+7.5; -70.5; +35.5,R precuneus
R FPAR,1,+45.5; +23.5; +41.5,R dlPFC
,2,+55.5; -52.5; +45.5,R inferior parietal
,3,+65.5; -36.5; -4.5,R middle temporal gyrus
,4,-56.5; -54.5; +45.5,L inferior parietal
,5,+3.5; -36.5; +43.5,L & R cingulate gyrus
,6,+45.5; +55.5; -2.5,R middle frontal
L FPAR,1,-42.5; +9.5; +51.5,L middle frontal gyrus
,2,-54.5; -60.5; +33.5,L supramarginal gyrus
,3,-52.5; +23.5; -4.5,L inferior frontal gyrus
,4,-62.5; -34.5; -2.5,L middle temporal gyrus
,5,+23.5; -74.5; -22.5,"R declive, cerebellum"
,6,-4.5; -50.5; +33.5,L precuneus
,7,+55.5; -58.5; +41.5,R inferior parietal lobule
Salience,1,+11.5; +1.5; +15.5,basal ganglia/insula
,2,+33.0; +28.0; +1.0,R anterior insula
,3,-35.0; +27.0; -1.0,L anterior insula
,4,+1.5; +15.5; +49.5,dorsal ACC
,5,+1.5; -42.5; +5.5,posterior cingulate
,6,+41.5; -0.5; +55.5,R middle frontal
DAN,1,-46.5; +9.5; +31.5,L inferior/middle frontal gyrus/dlPFC
,2,-30.5; -70.5; +43.5,L precuneus
,3,+47.5; +37.5; +19.5,R inferior frontal gyrus/dlPFC
,4,+31.5; -66.5; +43.5,R precuneus
,5,-60.5; -58.5; -8.5,L inferior temporal gyrus
,6,-57.5; -52.5; -8.5,R middle temporal gyrus
,7,-2.5; -34.5; +39.5,L cingulate gyrus
,8,-36.5; +37.5; -12.5,L middle frontal gyrus
,9,+31.5; +39.5; -12.5,R middle frontal gyrus
