Seed-pair,Control,Comorbid,MDD,PTSD,Difference,t statistic,p value
Left middle frontal gyrus - left middle temporal gyrus,.489 (0.22),.38 (0.35),.2 (0.24),.41 (0.25),MDD < CTRLS,3.65,< 0.001
,,,,,MDD < Comorbid,2.1,.038
,,,,,MDD < PTSD,-2.47,.015
Left middle frontal gyrus - left precuneus,.3 (0.25),.19 (0.29),.11 (0.18),.27 (0.24),MDD < CTRLS,2.43,.017
,,,,,MDD < PTSD,-2.01,.047
Left middle frontal gyrus - right inferior parietal lobule,.33 (0.24),.27 (0.24),.07 (0.24),.17 (0.22),MDD < CTRLS,3.43,< 0.001
,,,,,PTSD < CTRLS,2.31,.023
,,,,,MDD < Comorbid,2.31,< 0.001
Left inferior frontal gyrus - left precuneus,.05 (0.26),.09 (0.25),-0.06 (0.32),.11 (0.19),MDD < Comorbid,2.12,.036
,,,,,MDD < PTSD,-2.43,.016
Left inferior frontal gyrus - right inferior parietal lobule,.13 (0.24),.07 (0.35),-0.028 (0.26),.15 (0.19),MDD < CTRLS,2.01,.047
,,,,,MDD < PTSD,-2.15,.033
