Unnamed: 0,V1,OPA,pPPA,aPPA,RSC,pHC,aHC
V1,,Z = 0.06,Z = 0.08,Z = −0.13,Z = 0.12,Z = 0.03,Z = 0.02
,,t = 1.77,t = 3.60,t = −4.61,t = 4.24,t = 2.17,t = 1.25
,,p = 3.98 × 10−2,p = 2.74 × 10−4,p = 1.00 × 100,p = 3.03 × 10−5,p = 1.66 × 10−2,p = 1.06 × 10−1
OPA,Z = 0.13,,Z = 0.28,Z = 0.04,Z = −0.004,Z = −0.02,Z = −0.07
,t = 4.00,,t = 11.92,t = 1.92,t = −0.22,t = −1.23,t = −4.18
,p = 7.24 × 10−5,,p = 2.20 × 10−19,p = 2.92 × 10−2,p = 5.87 × 10−1,p = 8.90 × 10−1,p = 1.00 × 100
pPPA,Z = 0.02,Z = 0.37,,Z = 0.94,Z = −0.23,Z = −0.07,Z = −0.02
,t = 1.10,t = 12.86,,t = 39.41,t = −8.78,t = −4.35,t = −1.45
,p = 1.37 × 10−1,p = 4.50 × 10−21,,p = 1.20 × 10−52,p = 1.00 × 100,p = 1.00 × 100,p = 9.25 × 10−1
aPPA,Z = −0.03,Z = −0.01,Z = 0.77,,Z = 0.40,Z = 0.09,Z = 0.11
,t = −1.75,t = −0.59,t = 24.79,,t = 13.49,t = 3.98,t = 6.50
,p = 9.58 × 10−1,p = 7.24 × 10−1,p = 1.83 × 10−38,,p = 3.62 × 10−22,p = 7.57 × 10−5,p = 3.78 × 10−9
RSC,Z = 0.06,Z = 0.07,Z = −0.14,Z = 0.40,,Z = 0.12,Z = 0.14
,t = 3.57,t = 2.32,t = −6.11,t = 15.31,,t = 5.66,t = 7.31
,p = 3.08 × 10−4,p = 1.13 × 10−2,p = 1.00 × 100,p = 3.04 × 10−25,,p = 1.23 × 10−7,p = 1.12 × 10−10
pHC,Z = 0.005,Z = −0.04,Z = −0.04,Z = 0.14,Z = 0.07,,Z = 0.29
,t = 0.31,t = −2.82,t = −2.35,t = 5.51,t = 4.01,,t = 12.62
,p = 3.77 × 10−1,p = 9.97 × 10−1,p = 9.89 × 10−1,p = 2.33 × 10−7,p = 6.83 × 10−5,,p = 1.21 × 10−20
aHC,Z = 0.03,Z = −0.06,Z = −0.009,Z = 0.14,Z = 0.12,Z = 0.28,
,t = 1.67,t = −3.28,t = −0.52,t = 7.77,t = 5.93,t = 13.61,
,p = 4.90 × 10−2,p = 9.99 × 10−1,p = 6.99 × 10−1,p = 1.47 × 10−11,p = 4.12 × 10−8,p = 2.21 × 10−22,
