Day,Cluster,Sub-regions,Cluster size,t-value,Paxino's atlas,Paxino's atlas,Paxino's atlas
Unnamed: 0_level_1,(Total),Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z
3.0,Cluster 1,,507,−5.9723,4.6668,3.12,−9.9579
,,Right-olfactory cortex,83,−5.3672,4.6602,3.219,−9.4779
,,Right-visual cortex,31,−4.4835,4.6536,2.8755,−8.9979
7.0,Cluster 1,,709,5.9146,−3.1826,1.2896,−2.7579
,,Left-parietal association cortex,61,5.3679,−3.3144,1.1826,−3.2379
,,Left-sensory cortex,373,5.9146,−3.1826,1.2896,−2.7579
,Cluster 2,,165,5.9085,−1.3406,0.2183,−0.8379
,,Left-motor cortex,158,5.9085,−1.3406,0.2183,−0.8379
31.0,Cluster 1,,32,4.781,5.7394,6.5273,−9.9579
,,Right-flocculonodular lobe,21,4.781,5.7394,6.5273,−9.9579
