Network,Region,BA,Peak MNI coordinates (mm),Peak MNI coordinates (mm),Peak MNI coordinates (mm),z-scores
Network,Region,BA,X,Y,Z,z-scores
SN,rFIC,47,38.0,20.0,1.0,14.32
SN,lFIC,47,-33.0,19.0,-1.0,12.21
SN,ACC,24,-2.5,11.5,38.5,14.48
,,,,,,
CEN,rDPC,9,48.0,22.0,45.0,15.64
CEN,lDPC,9,-43.5,23.5,41.5,12.35
CEN,rPPC,40,56.0,-50.0,43.0,14.87
CEN,lPPC,40,-43.5,-52.5,49.5,11.41
,,,,,,
DMN,VPC,11,0.0,-48.0,-15.0,14.08
DMN,PCC,23/30,-6.0,-49.0,29.0,13.36
,,,,,,
PVCN,rCAL,17,17.5,-99.5,4.5,12.1
PVCN,lCAL,17,-17.5,-99.5,4.5,13.65
,,,,,,
HVCN,rLING,19,13.0,-55.0,-2.0,14.54
HVCN,rFFG,19,41.0,-62.0,-18.0,13.54
HVCN,rFFG,37,30.0,-47.0,-12.0,10.96
HVCN,lFFG,37,-30.0,-47.0,-12.0,12.05
