Region,BA,Peak MNI coordinates (mm),Peak MNI coordinates (mm),Peak MNI coordinates (mm),Cluster size,T value
Region,BA,X,Y,Z,Cluster size,T value
rITG,20,48,-33,-18,231,-4.0713
lMTG,20,-45,-24,-18,192,-4.4553
lMFG,10,-6,57,-6,103,-4.2173
rMFG,—,39,54,-15,159,-4.2101
lMOG,19,-27,-81,9,242,-5.6561
lSFG,—,-18,63,3,149,-4.5657
lCUN,—,0,-84,42,122,-3.6131
lIPG,40,-48,-54,48,136,-3.867
lIPG,—,-24,-51,54,93,-4.5914
lPreCG,—,-24,-15,54,75,-4.3692
rPreCG,7,12,-60,63,35,-3.5482
lPCL,6,-6,-27,69,15,-2.4483
rFFG,—,33,-60,-18,222,4.881
rCAU,—,12,18,3,279,5.0006
rSPG,—,16,-63,72,322,6.5872
