Hub regions (AAL Area),"Degree centrality (AUC, mean ± SD)"
NSCLP group,
Insula_L,13.91 ± 1.81
Caudate_R,13.64 ± 1.75
Putamen_L,13.58 ± 1.62
Olfactory_R,13.56 ± 1.73
Putamen_R,13.46 ± 1.54
Olfactory_L,13.45 ± 1.76
Cingulum_Ant_L,13.45 ± 1.58
Frontal_Inf_Orb_L,13.39 ± 2.48
Caudate_L,13.34 ± 1.90
HC group,
Putamen_R,14.31 ± 1.57
Insula_L,14.27 ± 1.79
Putamen_L,14.19 ± 1.66
Amygdala_R,13.82 ± 1.93
Insula_R,13.77 ± 1.97
Cingulum_Ant_L,13.47 ± 1.91
Rolandic_Oper_L,13.26 ± 1.61
Rolandic_Oper_R,13.19 ± 1.52
Cingulum_Ant_R,13.12 ± 1.87
