Target region,Side,BA,Cluster size,MNI coordinates,F-value
Target region,Side,BA,(voxels),"(x, y, z)","F(3,141)"
Positive DMN FC,,,,,
Medial Superior Frontal Gyrus,L,10.0,12.0,"−9, 48, 12",5.71
Superior Frontal Gyrus,R,9.0,10.0,"12, 48, 30",6.25
Caudate,R,,17.0,"12, 15, 21",6.73
,,,,,
Negative DMN FC,,,,,
Middle Temporal Gyrus,R,21.0,23.0,"33,-66,27",8.55
Precentral Gyrus,L,6.0,13.0,"30,-15,54",6.33
Superior Parietal Gyrus,R,7.0,10.0,"15,-54,72",5.17
Cerebellum Posterior Lobe,R,,10.0,"27,-51,39",6.34
