Unnamed: 0_level_0,Remission,Non-remission,Z/t/χ2,P value
Unnamed: 0_level_1,n = 28,N = 39,Unnamed: 3_level_1,Unnamed: 4_level_1
Age (years),27.34 ± 5.23,26.69 ± 8.34,−1.44,0.147a
Education (years),15.78 ± 2.65,15.48 ± 2.27,−0.69,0.488a
Gender (male/female),10/18,10/29,0.79,0.374c
Baseline HAMD-17 score,20.78 ± 3.42,21.82 ± 3.67,−1.24,0.213a
12-week HAMD-17 score,4.53 ± 2.08,12.12 ± 3.40,−6.96,<0.001a
%HAMD-17,0.77 ± 0.11,0.43 ± 0.17,9.11,<0.001b
MDD duration (years),2.47 ± 3.62,3.39 ± 6.03,−0.24,0.808a
Frequency of onset (times),1.11 ± 1.52,1.05 ± 1.68,−0.32,0.743a
Escitalopram (dosage),6.25 ± 2.20,5.78 ± 1.84,−0.92,0.356a
