Seed ROI,Cluster,Location (MNI),Location (MNI),Location (MNI),Cluster size,Brain regions,Number of voxels,t
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1
Right insula,1.0,52,14.0,−28,124.0,R temporal pole,84,−5.10
,,,,,,R anterior middle temporal gyrus,25,
,,,,,,R anterior superior temporal gyrus,3,
Left orbitofrontal cortex,2.0,−48,16.0,34,282.0,L middle frontal gyrus,268,4.99
,,,,,,L precentral gyrus,9,
,,,,,,L pars opercularis,4,
,3.0,−22,36.0,46,123.0,L superior frontal gyrus,73,4.52
,,,,,,L frontal pole,34,
,,,,,,L middle frontal gyrus,4,
,4.0,−2,44.0,−2,160.0,L paracingulate gyrus,83,−5.45
,,,,,,Anterior cingulate,57,
,,,,,,R paracingulate gyrus,6,
