Brain region,BA,Cluster size,MNI coordinates,MNI coordinates,MNI coordinates,T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1
Left anterior cingulate and paracingulate gyrus,31,72,−3,33,21,1.75
Right anterior cingulate and paracingulate gyrus,32,67,6,33,21,2.39
Left medial and paracingulate gyrus,33,91,−3,27,33,2.18
Left fusiform gyrus,55,150,−33,−51,−15,1.77
Left hippocampal gyrus,37,135,−30,−21,−15,2.9
Left inferior occipital gyrus,53,104,−15,−99,−9,2.23
Left middle occipital gyrus,51,163,−36,−69,18,2.46
Left inferior temporal gyrus,89,118,−39,−48,−15,2.07
Right inferior temporal gyrus,90,112,54,−63,−9,1.92
Left middle temporal gyrus,85,627,−60,−15,−3,3.36
Left temporal pole: middle temporal gyrus,87,83,−36,18,−36,2.37
Left superior temporal gyrus,81,218,−60,−15,3,2.15
Right cerebellum superior,100,110,33,−42,−30,2.13
Left cerebellum superior,91,150,−45,−63,−36,1.65
Left cerebellum inferior,93,83,−33,−81,−33,1.86
