Unnamed: 0_level_0,Area,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size,T-value
Unnamed: 0_level_1,Positive,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Left,Temporoccipitaljunction,−54,−64,−16,573.0,"6,4"
,Inferior temporal gyrus,−48,−34,−18,,"4,95"
,Negative,,,,,
Left,Crus 1,−26,−82,−24,200.0,"−4,95"
,Inferior occipital gyrus,−30,−90,−14,,"−4,65"
,lingual gyrus,−14,−84,−16,,"−4,26"
Right,Crus 1,26,−84,−24,301.0,"−6,6"
,lingual gyrus,30,−90,−16,,"−5,1"
,Inferior occipital gyrus,20,−98,−14,,"−4,42"
,Precuneus,16,−58,−64,149.0,"−5,62"
,Post central,48,−34,−62,106.0,"−4,68"
