Unnamed: 0_level_0,Unnamed: 1_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 11_level_0,Unnamed: 12_level_0
Unnamed: 0_level_1,Region of interest,x,y,z,T,k,Region of interest,x.1,y.1,z.1,T,k
DMN,Rest > Self,,,,,,Self > Rest,,,,,
,L Superior frontal,−12,36.0,51,6.06,32.0,L Ventral anterior cingulate,−3,45,−3,16.46,147.0
,,,,,,,R Frontal medial orbital,9,42,−3,8.37,
,,,,,,,R Posterior cingulate/Precuneus,12,−63,27,6.86,29.0
,,,,,,,L Precuneus/Cuneus,−9,−63,30,5.89,10.0
,Rest > Other,,,,,,Other > Rest,,,,,
,L Superior frontal,−9,39.0,48,11.83,176.0,L Frontal medial orbital,0,48,−6,11.27,85.0
,R Superior medial frontal,3,45.0,45,6.8,,R Frontal medial orbital,9,42,−3,6.55,
,R Superior frontal,15,39.0,48,7.99,17.0,R Posterior cingulate/Precuneus,9,−66,33,8.16,37.0
,,,,,,,L Lingual/Parahippocampal,−15,−36,−3,6.68,33.0
,,,,,,,L Posterior cingulate/Precuneus,−6,−66,33,6.17,11.0
SN,Rest > Self,,,,,,Self > Rest,,,,,
,L Supplementary motor area,−6,15.0,54,18.73,416.0,L Middle frontal,−36,39,27,7.42,17.0
,L Superior temporal pole,−48,18.0,−12,9.56,22.0,L Inferior frontal triangularis,−36,42,15,6.3,
,,,,,,,R Superior frontal,24,42,21,6.36,33.0
,,,,,,,R Middle frontal,36,39,27,6.2,
,Self > Other,,,,,,Other > Self,,,,,
,R Superior frontal,21,45.0,21,9.5,72.0,R Supplementary motor area,6,3,54,16.25,387.0
,L Anterior insula,−36,12.0,−6,8.87,55.0,L Supplementary motor area,−3,3,54,15.56,
,R Anterior insula,39,9.0,−3,8.86,51.0,L Middle frontal,−24,6,63,5.88,
,L Middle frontal,−27,39.0,24,8.22,42.0,,,,,,
,L Dorsal anterior cingulate,−12,33.0,24,8.1,151.0,,,,,,
,R Dorsal anterior cingulate,15,27.0,30,8.08,,,,,,,
,Rest > Other,,,,,,Other > Rest,,,,,
,L Anterior insula,−39,18.0,−9,12.62,75.0,L Supplementary motor area,−6,3,69,12.81,15.0
,L Dorsal anterior cingulate,−6,30.0,30,8.26,245.0,R Supplementary motor area,6,3,69,11.35,
,L Supplementary motor area,−6,15.0,54,7.69,,R Superior frontal,−21,6,63,6.92,10.0
,R Anterior insula,39,9.0,−3,7.98,75.0,,,,,,
,L Middle frontal,−24,48.0,27,7.97,30.0,,,,,,
