Seed,Target,T,p,Seed.1,Target.1,T.1,p.1
Rest < Self and Other,,,,Rest > Self and Other,,,
,,31.12,0.001,,,11.66,0.038
L Temporoparietal junction,R Anterior insula,−3.86,,R Anterior insula,L Anterior insula,2.75,
R Temporoparietal junction,R Anterior insula,−3.35,,Dorsal Anterior cingulate,L Anterior insula,2.91,
Posterior cingulate/precuneus,R Anterior insula,−3.05,,Dorsal Anterior cingulate,R Anterior insula,1.97,
Posterior cingulate /precuneus,Dorsal Anterior cingulate,−2.59,,Medial prefrontal cortex,Dorsal Anterior cingulate,1.29,
R Temporoparietal junction,L Anterior insula,−2.58,,,,,
L Temporoparietal junction,L Anterior insula,−2.41,,,,,
R Temporoparietal junction,Dorsal Anterior cingulate,−1.75,,,,,
Posterior cingulate /precuneus,L Anterior insula,−1.24,,,,,
L Temporoparietal junction,MPFC,−1.38,,,,,
Medial prefrontal cortex,L Anterior insula,−1.57,,,,,
Medial prefrontal cortex,R Anterior insula,−1.53,,,,,
