Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,MNIcoordinates,MNIcoordinates,MNIcoordinates,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0
Unnamed: 0_level_1,Scale,Correlation,Region of interest,x,y,z,T,p,k,r
DMN,IRIC Total,Positive,R Superior medial frontal,3,60,3,3.04,0.002,146.0,0.46
,,,L Superior medial frontal,−3,54,21,2.64,0.006,,0.41
,IRIC-PT,Positive,L Superior medial frontal,−12,48,6,3.69,0.0,199.0,0.53
,IRIC-EC,Negative,L Ventral anterior cingulate,−6,39,0,4.28,0.0,84.0,−0.59
,,,R Ventral anterior cingulate,3,42,−3,3.39,0.001,,−0.50
,,,R Posterior cingulate/Precuneus,3,−54,24,3.55,0.001,87.0,−0.51
SN,IRIC Total,Negative,R Middle frontal,24,39,24,3.37,0.001,35.0,−0.50
,IRIC-PT,Negative,R Middle frontal,27,39,30,3.66,0.0,37.0,−0.53
,,,R Dorsal anterior cingulate,9,33,30,2.93,0.003,84.0,−0.44
,,,L Superior medial frontal,0,24,42,2.57,0.007,,−0.40
,,,L Superior frontal,−12,18,45,2.4,0.011,,−0.38
