Anatomical Regions,Abbr.,BA,MNI Coordinates,MNI Coordinates,MNI Coordinates,Cluster Size,Maximal t Value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1,Unnamed: 7_level_1
Seed region: CePL.L,,,,,,,
X→Y,,,,,,,
Right precuneus,PreCU.R,7,21,−63,42,51.0,3.66
Seed region: ITG.R,,,,,,,
Y→X,,,,,,,
Left cerebellum anterior lobe (Culmen),CeAL.L,-,−9,−39,−12,39.0,4.37
Seed region: SFG.R,,,,,,,
Y→X,,,,,,,
left inferior semi-lunar lobule of cerebellum,CeISL.L,-,−36,−69,−54,44.0,4.16
Seed region: IFG.L,,,,,,,
Y→X,,,,,,,
Right cerebellum posterior lobe (Pyramis),CePL.R,-,3,−75,−33,43.0,4.29
