Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 6_level_0
Unnamed: 0_level_1,H,Z,x,y,z,Unnamed: 6_level_1
A. YA > OA,A. YA > OA,A. YA > OA,A. YA > OA,A. YA > OA,A. YA > OA,
"Cluster 1 (k = 1,398)",,,,,,
Central opercular cortex,L,3.64,−42,4,6,
Putamen,L,3.63,−28,−2,12,
Parietal operculum,L,3.50,−34,16,10,
Insular cortex,L,3.16,−34,16,−8,
Inferior frontal gyrus,L,2.73,−54,16,6,
Frontal orbital cortex,L,2.71,−34,24,−8,
Frontal pole,L,2.71,−18,56,−16,
Cluster 2 (k = 1198),,,,,,
ACC,,3.23,−6,40,4,
Paracingulate cortex,,3.10,−8,46,14,
B. OA > YA,B. OA > YA,B. OA > YA,B. OA > YA,B. OA > YA,B. OA > YA,
"Cluster 1 (k = 4,167)",,,,,,
Lingual gyrus,R,3.59,14,−56,−8,
Temporal occipital fusiform cortex,R,3.52,42,−48,−22,
Occipital fusiform gyrus,R,3.37,32,−70,−16,
Temporal occipital fusiform cortex,L,3.18,−28,−52,−18,
Lingual gyrus,L,2.77,−18,−46,−12,
Inferior temporal gyrus,R,2.73,50,−46,−22,
Temporal fusiform cortex,L,2.63,−30,−40,−22,
posterior division,,,,,,
