Descriptor,Side,Volume (mm3),cluster size p FDR corrected,Change in mean r-to-z,Peak,Peak,Peak
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z
,,,,,,,
"Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)","Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)","Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)","Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)","Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)","Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)","Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)","Responder (−42, 34, 38) > Nonresponder (−34, 30, 46)"
Insula,Insula,Insula,Insula,Insula,Insula,Insula,Insula
Insula/Inferior Frontal/Temporal Pole,R,1043,0,0.25,54,10,6
Insula,L,79,0.0182,0.20,−46,0,−2
Parietal/Posterior Cingulate/Supramarginal Gyrus *BA 7/40,R,742,0,0.28,50,−42,60
BA 40,L,171,0.0005,0.26,−60,−30,44
Prefrontal,Prefrontal,Prefrontal,Prefrontal,Prefrontal,Prefrontal,Prefrontal,Prefrontal
*Dorsolateral/Ventrolateral PFC (BA 46/BA 45),L,466,0,0.43,−40,34,34
Ventrolateral PFC (BA 45),L,66,0.0303,0.26,−52,36,8
"Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)","Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)","Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)","Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)","Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)","Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)","Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)","Nonresponder (−34, 30, 46) > Responder (−42, 34, 38)"
Posterior cingulate,L,984,0,−0.33,−4,−40,40
Middle/Superior Frontal Gyrus (BA 9),L,750,0,−0.39,−30,30,48
L. Occipital/Angular Gyrus (BA 39),L,286,0,−0.32,−50,−68,38
Ventral Frontal Regions,Ventral Frontal Regions,Ventral Frontal Regions,Ventral Frontal Regions,Ventral Frontal Regions,Ventral Frontal Regions,Ventral Frontal Regions,Ventral Frontal Regions
"Paracingulate Gyrus, Medial Frontal Cortex (BA 10)",L,240,0.0001,−0.30,−2,48,−8
Frontal Pole (BA 10),R,155,0.0008,−0.28,2,62,16
"Frontal Pole, Paracingulate Gyrus (BA 10)",L,78,0.0182,−0.26,−16,58,24
