Unnamed: 0,JME (n = 34),HC (n = 34),P value
Age (years),17.38 ± 4.73,19.15 ± 3.46,0.21a
Gender (males/females),17/17,11/23,0.14b
Handedness (right/left),34/0,34/0,–
Seizure semiology,"MS (34), GTCS (24)",–,–
Age at seizure onset (year),15.29 ± 3.44,–,–
Duration of epilepsy (months),23.76 ± 18.99,–,–
NHS3 total score,8.65 ± 3.92,–,–
Generalized convulsions,2.82 ± 1.85,–,–
Falls,1.50 ± 1.39,–,–
Incontinence,0.32 ± 0.81,–,–
Loss of consciousness,1.41 ± 0.82,–,–
Duration of recovery time,0.97 ± 0.67,–,–
Automatisms,0.68 ± 1.06,–,–
Mean FD,0.12 ± 0.05,0.11 ± 0.04,0.45a
