Brain regions,Hemisphere,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Voxels,Peak t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Without global regression,Without global regression,Without global regression,Without global regression,Without global regression,Without global regression,Without global regression
Cerebelum (X),L,−27,−39,−39,"25,56",−6.059
Cerebelum (VIII),R,30,−51,−39,"2,556",−5.716
Cerebelum (IX),L,−15,−57,−36,"2,556",−5.234
Middle temporal gyrus,L,−48,−15,−18,628,−4.846
Middle temporal gyrus,L,−42,3,−27,628,−4.432
Temporal pole,L,−51,3,3,628,−3.494
Superior occipital gyrus,L,−21,−78,36,264,−4.808
Precuneus,L,−9,−66,51,264,−4.185
Calcarine gyrus,L,0,−72,27,264,−4.068
Calcarine gyrus,L,−12,−87,9,41,−4.296
Middle temporal gyrus,L,−54,−57,24,103,−4.290
Supra marginal gyrus,R,66,−24,33,38,−3.934
Postcentral gyrus,L,−51,−15,39,56,−3.852
Postcentral gyrus,L,−60,−12,21,56,−3.367
Heschls gyrus,L,−42,−24,12,83,−3.798
Supra marginal gyrus,L,−66,−27,30,83,−3.566
With global regression,With global regression,With global regression,With global regression,With global regression,With global regression,With global regression
Cerebellum (VI),L,−27,−39,−39,72,−4.642
Supramarginal gyrus,R,66,−24,33,62,−4.283
Middle temporal gyrus,L,−66,−15,−15,228,−4.282
Hippocampus,L,−36,−15,−18,228,−3.876
Middle temporal gyrus,L,−51,−30,−12,228,−3.670
Postcentral gyrus,L,−54,−12,36,234,−4.278
Supramarginal gyrus,L,−54,−27,15,234,−3.738
Superior occipital gyrus,L,−21,−78,36,71,−4.256
Cerebellum (Crus 1),R,45,−60,−24,38,−4.224
Inferior frontal operculum,R,57,9,3,268,−4.211
Insula gyrus,R,42,0,−15,268,−3.981
Fusiform gyrus,R,45,−24,−24,268,−3.780
Cuneus,L,0,−75,27,37,−4.166
Cerebellum (VI),L,−39,−63,−24,25,−4.030
Superior temporal pole,L,−48,15,−15,36,−3.998
Precuneus,L,−12,−63,54,64,−3.914
Precuneus,R,12,−54,51,28,−3.828
Inferior temporal gyrus,R,60,−36,−21,40,−3.901
Rolandic operculum,R,63,−18,12,64,−3.706
Angular gyrus,L,−48,−69,24,38,−3.641
