Unnamed: 0_level_0,Unnamed: 1_level_0,TC,TC,TC,ASD,ASD,ASD
Site,Abbreviation,Average age,Sex,Sex,Average age,Sex,Sex
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Male,Female,Unnamed: 5_level_2,Male,Female
CALTECH,California Institute,28.0,14.0,4.0,27.4,15.0,4.0
,of Technology,,,,,,
CMU,Carnegie Mellon,26.8,10.0,3.0,26.4,11.0,3.0
,University,,,,,,
KKI,Kennedy Krieger,10.0,20.0,8.0,10.0,16.0,4.0
,"Institute, Baltimore",,,,,,
LEUVEN,University of Leuven,18.2,29.0,5.0,17.8,26.0,3.0
MAX MUN,Ludwig Maximilians,24.6,27.0,1.0,26.1,21.0,3.0
,"University, Munich",,,,,,
NYU,NYU Langone,15.7,74.0,26.0,14.7,65.0,10.0
,Medical,,,,,,
,"Center, New York",,,,,,
OHSU,Oregon Health,10.1,14.0,0.0,11.4,12.0,0.0
,and Science,,,,,,
,University,,,,,,
OLIN,"Olin, Institute of",16.7,13.0,2.0,16.5,16.0,3.0
,"Living,",,,,,,
,Hartford Hospital,,,,,,
PITT,University of,18.9,23.0,4.0,19.0,25.0,4.0
,Pittsburgh,,,,,,
,School of Medicine,,,,,,
SBL,Social Brain Lab BCN,33.7,15.0,0.0,35.0,15.0,0.0
,NIC UMC Groningen,,,,,,
,and Netherlands,,,,,,
,Institute for,,,,,,
,Neurosciences,,,,,,
SDSU,San Diego State,14.2,16.0,6.0,14.7,13.0,1.0
,University,,,,,,
STANFORD,Stanford University,10.0,16.0,4.0,10.0,15.0,4.0
TRINITY,Trinity Center,17.1,25.0,0.0,16.8,22.0,0.0
,for Health Sciences,,,,,,
UCLA,"University of California,",13.0,38.0,6.0,13.0,48.0,6.0
,Los Angeles,,,,,,
UM,University of Michigan,14.8,56.0,18.0,13.2,57.0,9.0
USM,University of Utah,21.3,25.0,0.0,23.5,46.0,0.0
,School of Medicine,,,,,,
YALE,"Child Study Center,",12.7,20.0,8.0,12.7,20.0,8.0
,Yale University,,,,,,
