Unnamed: 0_level_0,SVM,SVM,KNN,KNN,RF,RF,CNN
Unnamed: 0_level_1,BO,AO,BO,AO,BO,AO,Unnamed: 7_level_1
Mean of accuracy,0.689,0.6935,0.6142,0.6211,0.5983,0.5994,0.7022
Variance of accuracy,0.0022,0.0011,0.0011,0.0006,0.00062,0.00052,0.002
Mean of sensitivity,0.779,0.7459,0.7619,0.7452,0.7474,0.7595,0.7746
Variance of sensitivity,0.0028,0.0026,0.0045,0.004,0.0045,0.005,0.0078
Mean of specificity,0.5855,0.6325,0.4437,0.4784,0.4277,0.4149,0.6182
Variance of specificity,0.0057,0.0049,0.012,0.008,0.0065,0.003,0.0098
Mean of AUC,0.7533,0.7553,0.6679,0.6724,0.6546,0.6635,0.7486
Variance of AUC,0.0018,0.0017,0.0021,0.0013,0.0005,0.0012,0.0006
Mean of F-score,0.6486,0.6719,0.5279,0.5516,0.5092,0.5015,0.7355
