Site out,Accuracy,Specificity,Sensitivity,F-score
CALTECH,0.54,0.47,0.61,0.56
CMU,0.59,0.35,0.85,0.67
KKI,0.6,0.75,0.5,0.6
LEUVEN,0.62,0.28,0.91,0.72
MAX MUN,0.5,0.50,0.5,0.52
NYU,0.59,0.40,0.74,0.68
OHSU,0.64,0.25,0.64,0.56
OLIN,0.68,0.68,0.66,0.64
PITT,0.58,0.41,0.78,0.65
SBL,0.57,0.33,0.8,0.65
SDSU,0.64,0.36,0.82,0.73
STANFORD,0.51,0.0.58,0.45,0.49
TRINITY,0.6,0.41,0.76,0.67
UCLA,0.63,0.48,0.82,0.67
UM,0.57,0.98,0.2,0.33
USM,0.46,0.20,0.96,0.56
YALE,0.64,0.43,0.86,0.7
Mean,0.58,0.46,0.7,0.61
