Unnamed: 0_level_0,AUD,AUD,CTL,CTL,F,p
Unnamed: 0_level_1,Mean,SD,Mean,SD,F,p
ExcMovMade_All,15.04,17.02,7.83,6.66,4.43,0.0402 *
AvgPicTime_All,3.09,1.09,2.81,0.96,1.02,0.3167
AvgTotTime_All,5.16,1.58,4.72,1.64,1.01,0.3199
TotTrlTime_All,482.6,178.18,404.24,139.05,3.29,0.0755
AvgTrlTime_All,22.98,8.48,19.25,6.62,3.29,0.0755
TotCor_Fw,7.0,2.58,10.21,2.78,19.06,0.0001 ++
TotCor_Bw,6.31,3.02,8.31,1.87,8.95,0.0042 *
Span_Fw,5.44,1.33,6.83,1.36,14.25,0.0004 ++
Span_Bw,4.65,1.44,5.52,0.95,7.02,0.0106 *
TotAvgTime_Fw,26.72,9.13,28.31,10.53,0.35,0.5591
TotAvgTime_Bw,17.72,9.39,17.79,10.01,0.0,0.9791
TotCorAvgTime_Fw,38.15,12.39,32.48,8.07,4.06,0.0490 *
TotCorAvgTime_Bw,28.93,13.92,27.16,10.66,0.28,0.5963
