MNI coordinates (in mm),X,Y,Z
Right ventral anterior insula,38.4,10.8,−9.5
Left ventral anterior insula,−36.5,11,−12.9
Right medial prefrontal cortex,4.7,55.5,−17.3
Right medial orbitofrontal cortex,21.1,22.4,−20
Left medial prefrontal cortex,−3.9,55.5,−17.7
Left medial orbitofrontal cortex,−23,22.4,−20.3
Right amygdala,24.4,−3.9,−18.9
Left amygdala,−23,−2.8,−17.3
Right periaqueductal grey,4.2,−32.5,−10.2
Left periaqueductal grey,−2,−29.9,−7.9
Right hypothalamus,8.1,−1.5,−12.5
Left hypothalamus,−6.2,−1.6,−12.9
Right subgenual anterior cingulate cortex,2,23.7,−6.5
Left subgenual anterior cingulate cortex,−3.9,23.7,−6.1
