Condition,Left/right,Brain areas,MNI coordinates,MNI coordinates,MNI coordinates,Peak voxels,T value
Condition,Left/right,Brain areas,X,Y,Z,Peak voxels,T value
NCs > CSA,NCs > CSA,NCs > CSA,NCs > CSA,NCs > CSA,NCs > CSA,NCs > CSA,NCs > CSA
1,Right,Cerebellum,12,− 75,− 21,1751,5.66
2,Left,Cerebellum,− 12,− 75,− 21,1751,5.66
3,Right,Frontal Sup Orb,12,69,− 3,93,4.47
4,Left,Frontal Sup Orb,− 12,69,− 3,93,4.47
5,Right,Temporal Inf,36,− 57,12,108,4.62
6,Left,Temporal Inf,− 36,− 57,12,108,4.62
7,Right,Frontal Sup,21,12,33,58,4.56
8,Left,Frontal Sup,− 21,12,33,58,4.56
