Seed Region,MNIcoordinate,Cluster Size,t value,P FWE,P-unc,Name (voxel size - region)
TRS > HCs,,,,,,
Thalamic subregion 1,-14 -44 -12,612.0,5.22,0.009,< 0.001,339 - Left lingual gyrus142 - Left cerebellum 4_5
Thalamic subregion 2,-28 -10 66,1309.0,5.3,< 0.001,< 0.001,604 - Left precentral gyrus483 - Left postcentral gyrus
Thalamic subregion 3,10 6 54,523.0,5.26,0.003,< 0.001,173 - Right supplementary motor cortex
Thalamic subregion 6,-8 38 -22,1229.0,7.05,< 0.001,< 0.001,186 - Frontal medial cortex
,-36 -34 62,358.0,5.26,0.030,< 0.001,342 - Left postcentral gyrus
,26 -28 60,467.0,4.79,0.006,< 0.001,305 - Right precentral gyrus132 - Right postcentral gyrus
Thalamic subregion 9,-44 -14 42,380.0,5.26,0.020,< 0.001,281 - Left precentral gyrus
TRS < HCs,,,,,,
Thalamic subregion 3,6 -90 -2,458.0,-4.18,0.008,< 0.001,163 - Left intracalcarine cortex
