Network,Region,Coordinates
Somatomotor,Supplementary motor area,0 -12 50
Somatomotor,Right precentral gyrus,44 -16 48
Somatomotor,Left postcentral gyrus,−38 -26 56
Salience,Anterior cingulate cortex,0 36 22
Salience,Left middle frontal gyrus,−28 54 14
Salience,Right middle frontal gyrus,30 52 14
Salience,Left insula,−36 12 -2
Salience,Right insula,32 20 4
Default mode,Precuneus,2 -58 30
Default mode,Medial prefrontal cortex???,2 56 -4
Default mode,Left inferior parietal cortex,−44 -60 24
Default mode,Right inferior parietal cortex,54 -62 28
