Seed,Target,Neuronal tracer-based structural connectivity strength,Diffusion-based structural connectivity strength,Functional connectivity strength (Z’),Euclidean distance (mm),Connection type(network),Connection type (regional)
Left mPFC,Right mPFC,3.0,1790.1,1.58,1.18,Within default mode network,Homotopic interhemispheric
Right mPFC,Left mPFC,3.0,1790.1,1.58,1.18,Within default mode network,Homotopic interhemispheric
LeftDI,LeftGI,2.96,1046.7,1.3,0.31,No,Intrahemispheric left
LeftGI,LeftDI,2.89,1046.7,1.3,0.31,No,Intrahemispheric left
Left LPtA,Left S1Tr,3.0,629.2,1.28,0.97,Sensorimotor network to another network,Intrahemispheric left
Left S1Tr,Left LPtA,3.0,629.2,1.28,0.97,Sensorimotor network to another network,Intrahemispheric left
Left V2L,Left V1B,3.0,1474.6,1.28,1.43,No,Intrahemispheric left
LeftM1,LeftM2,2.96,3787.6,1.28,1.27,Within sensorimotor network,Intrahemispheric left
LeftM2,LeftM1,3.76,3787.6,1.28,1.27,Within sensorimotor network,Intrahemispheric left
Right LPtA,Right S1Tr,3.0,533.7,1.27,0.98,Sensorimotor network to another network,Intrahemispheric right
Right S1Tr,Right LPtA,3.0,533.7,1.27,0.98,Sensorimotor network to another network,Intrahemispheric right
LeftGI,LeftS2,3.72,1075.4,1.25,1.64,Sensorimotor network to another network,Intrahemispheric left
LeftS2,LeftGI,3.62,1075.4,1.25,1.64,Sensorimotor network to another network,Intrahemispheric left
Right M1,Right M2,2.96,2958.9,1.22,1.27,Within sensorimotor network,Intrahemispheric right
Right M2,Right M1,3.76,2958.9,1.22,1.27,Within sensorimotor network,Intrahemispheric right
Right GI,RightS2,3.72,1261.1,1.22,1.63,Sensorimotor network to another network,Intrahemispheric right
Right S2,RightGI,3.62,1261.1,1.22,1.63,Sensorimotor network to another network,Intrahemispheric right
Right DI,RightGI,2.96,1200.0,1.21,0.31,No,Intrahemispheric right
Right GI,RightDI,2.89,1200.0,1.21,0.31,No,Intrahemispheric right
LeftM1,Left S1FL,2.88,1189.6,1.2,1.9,Within sensorimotor network,Intrahemispheric left
LeftS1FL,LeftM1,2.86,1189.6,1.2,1.9,Within sensorimotor network,Intrahemispheric left
Right M1,Right S1FL,2.88,1077.7,1.2,1.91,Within sensorimotor network,Intrahemispheric right
Right S1FL,Right M1,2.86,1077.7,1.2,1.91,Within sensorimotor network,Intrahemispheric right
Left AuD,Left Au1,3.0,1098.9,1.18,0.78,Within default mode network,Intrahemispheric left
Right Cg1,Left mPFC,3.0,260.0,1.18,2.87,Within default mode network,Heterotopic interhemispheric
LeftDI,Left AID,3.0,851.0,1.16,3.05,No,Intrahemispheric left
